archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198852,-42.708892,-71.033448,333473.9,5269506.7,897.57605,1,0,0.90031546,-1.16,-0.14,0.78,2.02,2.47
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0010,332030200400198853,-42.709178,-71.032875,333521.5,5269476.0,896.4569,1,0,0.9062534,-1.04,-0.03,1.01,2.47,2.99
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193455,-42.712545,-71.039862,332958.4,5269088.4,947.53046,1,0,0.9009073,-1.08,-0.07,0.93,2.39,2.88
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193460,-42.713977,-71.036996,333196.9,5268934.9,951.6454,1,0,0.9091852,-1.19,0.18,1.72,3.85,4.52
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193378,-42.708434,-71.067326,330698.2,5269490.2,981.32715,1,0,0.92174256,-1.94,-0.18,1.45,3.36,4.0
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193379,-42.708720,-71.066753,330745.8,5269459.5,980.0365,1,0,0.9326278,-1.16,-0.14,0.78,2.02,2.5
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193380,-42.709008,-71.066178,330793.7,5269428.7,984.30066,1,0,0.93871444,-1.38,0.0,1.42,3.62,4.45
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193381,-42.709296,-71.065601,330841.7,5269397.8,992.63824,1,0,0.9458939,-1.42,-0.26,0.78,2.09,2.61
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193382,-42.709581,-71.065032,330889.1,5269367.4,983.9736,1,0,0.94186354,-1.9,-0.29,1.19,3.21,3.96
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193383,-42.709866,-71.064463,330936.4,5269336.9,974.9761,1,0,0.93579316,-1.16,-0.07,1.01,2.54,3.18
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193384,-42.710152,-71.063892,330984.0,5269306.3,970.83417,1,0,0.9526718,-1.3,-0.26,0.71,1.98,2.46
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193385,-42.710438,-71.063320,331031.6,5269275.7,968.55237,1,0,0.9275137,-1.23,-0.18,0.78,2.09,2.58
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193386,-42.710724,-71.062747,331079.3,5269245.0,967.1628,1,0,0.93954426,-1.23,-0.18,0.82,2.2,2.76
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193387,-42.711011,-71.062173,331127.1,5269214.3,968.54834,1,0,0.93261725,-1.34,-0.22,0.82,2.17,2.65
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193388,-42.711297,-71.061601,331174.8,5269183.6,965.8925,1,0,0.93194944,-1.16,-0.18,0.71,1.94,2.39
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193389,-42.711584,-71.061028,331222.4,5269153.0,963.399,1,0,0.9345336,-1.27,-0.22,0.74,1.98,2.43
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193390,-42.711869,-71.060457,331270.0,5269122.4,957.578,1,0,0.9267357,-1.68,-0.37,0.71,2.13,2.61
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193391,-42.712154,-71.059888,331317.3,5269092.0,947.4775,1,0,0.93858886,-1.45,-0.22,0.97,2.5,3.06
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193392,-42.712440,-71.059315,331365.0,5269061.3,945.8152,1,0,0.9216883,-2.09,-0.48,0.89,2.61,3.18
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193393,-42.712724,-71.058747,331412.3,5269030.9,934.2229,1,0,0.9375446,-1.12,-0.11,0.86,2.13,2.65
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193394,-42.713012,-71.058170,331460.3,5269000.0,940.61426,1,0,0.94443244,-1.57,0.11,1.94,4.82,6.13
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193395,-42.713302,-71.057589,331508.7,5268969.0,954.42194,1,0,0.9254858,-1.38,0.14,1.72,4.0,4.86
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193396,-42.713591,-71.057012,331556.8,5268938.1,961.3544,1,0,0.9416878,-1.3,-0.22,0.74,2.05,2.54
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193397,-42.713878,-71.056437,331604.7,5268907.4,964.3358,1,0,0.93881637,-1.38,-0.22,0.82,2.24,2.8
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193398,-42.714165,-71.055862,331652.5,5268876.7,964.81976,1,0,0.9480559,-1.45,-0.29,0.78,2.17,2.73
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193399,-42.714454,-71.055284,331700.6,5268845.7,973.44305,1,0,0.923116,-2.02,-0.22,1.49,3.59,4.26
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193400,-42.714741,-71.054709,331748.4,5268815.0,974.6449,1,0,0.9379123,0.26,2.84,5.12,7.63,8.38
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193401,-42.715029,-71.054132,331796.5,5268784.1,981.3444,1,0,0.945106,-1.3,-0.18,0.82,2.2,2.73
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193402,-42.715316,-71.053557,331844.3,5268753.4,982.068,1,0,0.9351974,-1.23,-0.18,0.78,2.05,2.54
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193403,-42.715603,-71.052983,331892.2,5268722.7,983.55334,1,0,0.9199927,-1.19,-0.11,0.89,2.28,2.8
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193404,-42.715890,-71.052408,331940.0,5268691.9,985.3727,1,0,0.92754143,-1.27,-0.18,0.82,2.17,2.65
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193405,-42.716177,-71.051833,331987.8,5268661.2,985.15826,1,0,0.9245403,-1.27,-0.22,0.71,1.98,2.43
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193406,-42.716463,-71.051261,332035.4,5268630.6,981.3389,1,0,0.92902476,-1.16,-0.07,1.04,2.65,3.33
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193407,-42.716750,-71.050685,332083.4,5268599.9,985.0508,1,0,0.9313199,-1.16,-0.18,0.78,2.05,2.58
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193408,-42.717037,-71.050111,332131.1,5268569.2,984.314,1,0,0.9282077,-1.27,-0.22,0.74,2.02,2.5
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193409,-42.717324,-71.049537,332178.9,5268538.5,983.96906,1,0,0.9464423,-1.3,-0.22,0.74,2.02,2.54
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193410,-42.717610,-71.048963,332226.7,5268507.8,984.0344,1,0,0.9497872,-1.27,-0.18,0.78,2.17,2.69
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193411,-42.717898,-71.048387,332274.7,5268477.0,988.31067,1,0,0.921161,-1.34,0.03,1.42,3.33,4.0
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193412,-42.718186,-71.047811,332322.6,5268446.2,992.23676,1,0,0.9089012,-1.27,-0.18,0.82,2.2,2.69
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193413,-42.718473,-71.047235,332370.6,5268415.4,995.8692,1,0,0.9304729,-1.27,-0.18,0.86,2.28,2.8
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193414,-42.718760,-71.046660,332418.4,5268384.7,997.33374,1,0,0.940043,-1.12,-0.11,0.86,2.2,2.73
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193415,-42.719046,-71.046087,332466.1,5268354.0,994.7689,1,0,0.933328,-1.16,-0.14,0.86,2.2,2.73
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193416,-42.719335,-71.045509,332514.2,5268323.1,1002.83606,1,0,0.9337467,-1.9,-0.41,0.89,2.5,3.06
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193417,-42.719621,-71.044935,332562.0,5268292.5,1002.51495,1,0,0.9341881,-1.12,-0.11,0.89,2.43,3.14
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193418,-42.719909,-71.044359,332609.9,5268261.7,1004.59406,1,0,0.9322782,-1.3,-0.18,0.86,2.32,2.84
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193419,-42.720196,-71.043783,332657.8,5268230.9,1009.2848,1,0,0.93900007,-1.23,0.37,2.24,5.8,6.99
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193420,-42.720487,-71.043200,332706.4,5268199.8,1027.8099,1,0,0.9153374,-2.05,0.26,2.76,6.69,8.0
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193421,-42.720777,-71.042618,332754.8,5268168.7,1042.7452,1,0,0.9199695,-1.87,-0.41,0.89,2.54,3.14
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193422,-42.721062,-71.042047,332802.3,5268138.2,1035.541,1,0,0.93883574,-2.91,-0.71,1.19,3.92,4.79
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193423,-42.721346,-71.041480,332849.5,5268107.8,1022.0996,1,0,0.92546433,-1.38,0.33,2.17,4.52,5.42
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193424,-42.721632,-71.040907,332897.2,5268077.2,1019.29626,1,0,0.9442559,-1.23,-0.03,1.16,2.99,3.74
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193425,-42.721919,-71.040331,332945.1,5268046.4,1021.9136,1,0,0.9331526,-1.49,-0.29,0.74,2.09,2.58
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193426,-42.722204,-71.039759,332992.7,5268015.9,1016.6125,1,0,0.94053036,-1.34,-0.11,1.16,2.8,3.4
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193427,-42.722491,-71.039185,333040.5,5267985.2,1016.3348,1,0,0.9256121,-1.34,-0.14,0.97,2.58,3.21
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193428,-42.722779,-71.038608,333088.5,5267954.4,1022.23975,1,0,0.9344774,-1.19,-0.03,1.08,2.65,3.21
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193429,-42.723065,-71.038035,333136.2,5267923.7,1019.843,1,0,0.9228727,-1.53,-0.22,1.04,2.73,3.33
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193430,-42.723352,-71.037460,333184.0,5267893.0,1020.36847,1,0,0.94852966,-1.19,-0.03,1.08,2.84,3.59
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193431,-42.723639,-71.036883,333232.0,5267862.2,1025.5669,1,0,0.9308894,-0.89,0.93,3.29,6.58,7.55
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193432,-42.723929,-71.036303,333280.3,5267831.2,1037.4066,1,0,0.9453993,-1.57,-0.03,1.49,3.85,4.75
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193433,-42.724218,-71.035724,333328.5,5267800.3,1048.5801,1,0,0.94081867,-1.57,-0.33,0.71,2.05,2.54
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193434,-42.724504,-71.035151,333376.2,5267769.7,1045.1454,1,0,0.91714597,-1.23,-0.03,1.08,2.65,3.21
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193435,-42.724789,-71.034578,333423.8,5267739.1,1041.6035,1,0,0.9329294,-1.9,-0.33,1.16,3.03,3.66
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193436,-42.725075,-71.034007,333471.4,5267708.5,1036.3048,1,0,0.93338645,-1.3,-0.11,1.04,2.76,3.48
