archivo,beam,shot_number,lat,lon,este_utm19s,norte_utm19s,elev_lowestmode,l2a_quality_flag_rel3,degrade_flag,sensitivity,rh25,rh50,rh75,rh95,rh98,pendiente_grados,pai,fhd_normal,cover
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193455,-42.712545,-71.039862,332958.4,5269088.4,947.53046,1,0,0.9009073,-1.08,-0.07,0.93,2.39,2.88,5.23,0.12282118,1.2440224,0.059561443
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0011,332030300400193460,-42.713977,-71.036996,333196.9,5268934.9,951.6454,1,0,0.9091852,-1.19,0.18,1.72,3.85,4.52,6.86,0.3578261,1.5360725,0.16380937
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193388,-42.711297,-71.061601,331174.8,5269183.6,965.8925,1,0,0.93194944,-1.16,-0.18,0.71,1.94,2.39,3.16,0.05027062,1.4141548,0.0248217
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193389,-42.711584,-71.061028,331222.4,5269153.0,963.399,1,0,0.9345336,-1.27,-0.22,0.74,1.98,2.43,5.15,0.038881544,1.0154983,0.01925281
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193390,-42.711869,-71.060457,331270.0,5269122.4,957.578,1,0,0.9267357,-1.68,-0.37,0.71,2.13,2.61,8.06,0.0467817,0.87350476,0.023119103
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193391,-42.712154,-71.059888,331317.3,5269092.0,947.4775,1,0,0.93858886,-1.45,-0.22,0.97,2.5,3.06,8.05,0.048640985,0.9771366,0.024026806
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193392,-42.712440,-71.059315,331365.0,5269061.3,945.8152,1,0,0.9216883,-2.09,-0.48,0.89,2.61,3.18,10.66,0.02358776,0.9508612,0.011724527
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193393,-42.712724,-71.058747,331412.3,5269030.9,934.2229,1,0,0.9375446,-1.12,-0.11,0.86,2.13,2.65,6.82,0.08089685,1.4279795,0.03964041
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193394,-42.713012,-71.058170,331460.3,5269000.0,940.61426,1,0,0.94443244,-1.57,0.11,1.94,4.82,6.13,14.36,0.26464948,2.0509744,0.123934545
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193395,-42.713302,-71.057589,331508.7,5268969.0,954.42194,1,0,0.9254858,-1.38,0.14,1.72,4.0,4.86,12.23,0.2907844,1.7450163,0.13530613
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193396,-42.713591,-71.057012,331556.8,5268938.1,961.3544,1,0,0.9416878,-1.3,-0.22,0.74,2.05,2.54,6.31,0.099161886,1.4538691,0.048370536
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193397,-42.713878,-71.056437,331604.7,5268907.4,964.3358,1,0,0.93881637,-1.38,-0.22,0.82,2.24,2.8,6.10,0.04813414,1.5644782,0.023779448
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193398,-42.714165,-71.055862,331652.5,5268876.7,964.81976,1,0,0.9480559,-1.45,-0.29,0.78,2.17,2.73,6.57,0.042863395,0.9179159,0.021203417
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193399,-42.714454,-71.055284,331700.6,5268845.7,973.44305,1,0,0.923116,-2.02,-0.22,1.49,3.59,4.26,8.38,0.06899905,1.4493668,0.03391055
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193400,-42.714741,-71.054709,331748.4,5268815.0,974.6449,1,0,0.9379123,0.26,2.84,5.12,7.63,8.38,6.25,1.760357,2.0002935,0.5850442
GEDI02_A_2024296191058_O33203_04_T06235_02_004_02_V003.h5,BEAM0101,332030500400193401,-42.715029,-71.054132,331796.5,5268784.1,981.3444,1,0,0.945106,-1.3,-0.18,0.82,2.2,2.73,3.22,0.04501674,1.5270821,0.022256665
